"id","type","name","province_id","latitude","longitude","created_at","updated_at","deleted_at"
"259","Kabupaten","Maluku Tengah","19","-3.29167","128.9675","2021-10-20 15:19:47","2021-11-26 14:43:10",NULL
"260","Kabupaten","Maluku Tenggara","19","-5.75","132.73334","2021-10-20 15:19:47","2021-11-26 14:43:10",NULL
"261","Kabupaten","Maluku Tenggara Barat","19","-7.61186","131.38","2021-10-20 15:19:47","2021-11-26 14:43:10",NULL
"262","Kabupaten","Mamasa","27","-2.96492","119.30631","2021-10-20 15:19:47","2021-11-26 14:43:10",NULL
"263","Kabupaten","Mamberamo Raya","24","-2.23561","137.78229","2021-10-20 15:19:47","2021-11-26 14:43:10",NULL
"264","Kabupaten","Mamberamo Tengah","24","-2.46064","138.45245","2021-10-20 15:19:47","2021-11-26 14:43:10",NULL
"265","Kabupaten","Mamuju","27","-2.5","119.41667","2021-10-20 15:19:47","2021-11-26 14:43:10",NULL
"266","Kabupaten","Mamuju Utara","27","-1.51639","119.42139","2021-10-20 15:19:47","2021-11-26 14:43:10",NULL
"267","Kota","Manado","31","1.51667","124.88333","2021-10-20 15:19:47","2021-11-26 14:43:09",NULL
"268","Kabupaten","Mandailing Natal","34","0.78378","99.25495","2021-10-20 15:19:47","2021-11-26 14:43:04",NULL
"269","Kabupaten","Manggarai","23","-8.56667","120.41667","2021-10-20 15:19:47","2021-11-26 14:43:08",NULL
"270","Kabupaten","Manggarai Barat","23","-8.64484","119.88281","2021-10-20 15:19:47","2021-11-26 14:43:09",NULL
"271","Kabupaten","Manggarai Timur","23","-8.55533","120.59761","2021-10-20 15:19:47","2021-11-26 14:43:09",NULL
"272","Kabupaten","Manokwari","25","-0.9","133.75","2021-10-20 15:19:47","2021-11-26 14:43:10",NULL
"273","Kabupaten","Manokwari Selatan","25","-1.0798","133.96729","2021-10-20 15:19:47","2021-11-26 14:43:10",NULL
"274","Kabupaten","Mappi","24","-6.49971","139.34441","2021-10-20 15:19:47","2021-11-26 14:43:10",NULL
"275","Kabupaten","Maros","28","-5.05","119.71667","2021-10-20 15:19:47","2021-11-26 14:43:09",NULL
"276","Kota","Mataram","22","-8.5833","116.1167","2021-10-20 15:19:47","2021-11-26 14:43:08",NULL
"277","Kabupaten","Maybrat","25","-1.2155","132.35092","2021-10-20 15:19:47","2021-11-26 14:43:10",NULL
"278","Kota","Medan","34","3.65","98.66667","2021-10-20 15:19:47","2021-11-26 14:43:04",NULL
"279","Kabupaten","Melawi","12","-0.33617","111.698","2021-10-20 15:19:47","2021-11-26 14:43:09",NULL
"280","Kabupaten","Merangin","8","-2.06933","102.13303","2021-10-20 15:19:47","2021-11-26 14:43:06",NULL
"281","Kabupaten","Merauke","24","-7.66667","139.66667","2021-10-20 15:19:47","2021-11-26 14:43:10",NULL
"282","Kabupaten","Mesuji","18","-4.0439","105.4013","2021-10-20 15:19:47","2021-11-26 14:43:07",NULL
"283","Kota","Metro","18","-5.11856","105.29949","2021-10-20 15:19:47","2021-11-26 14:43:07",NULL
"284","Kabupaten","Mimika","24","-4.54357","136.56555","2021-10-20 15:19:47","2021-11-26 14:43:10",NULL
"285","Kabupaten","Minahasa","31","1.2537","124.83","2021-10-20 15:19:47","2021-11-26 14:43:09",NULL
"286","Kabupaten","Minahasa Selatan","31","1.21291","124.59708","2021-10-20 15:19:47","2021-11-26 14:43:09",NULL
"287","Kabupaten","Minahasa Tenggara","31","1.05633","124.7925","2021-10-20 15:19:47","2021-11-26 14:43:09",NULL
"288","Kabupaten","Minahasa Utara","31","1.4025","124.96","2021-10-20 15:19:47","2021-11-26 14:43:09",NULL
"289","Kabupaten","Mojokerto","11","-7.55","112.5","2021-10-20 15:19:47","2021-11-26 14:43:08",NULL
"290","Kota","Mojokerto","11","-7.46667","112.43333","2021-10-20 15:19:47","2021-11-26 14:43:08",NULL
"291","Kabupaten","Morowali","29","-1.89342","121.25473","2021-10-20 15:19:47","2021-11-26 14:43:09",NULL
"292","Kabupaten","Muara Enim","33","-4.2327","103.6141","2021-10-20 15:19:47","2021-11-26 14:43:06",NULL
"293","Kabupaten","Muaro Jambi","8","-1.55214","103.82163","2021-10-20 15:19:47","2021-11-26 14:43:06",NULL
"294","Kabupaten","Muko Muko","4","-3.07438","101.54766","2021-10-20 15:19:47","2021-11-26 14:50:48",NULL
"295","Kabupaten","Muna","30","-4.96667","122.66667","2021-10-20 15:19:47","2021-11-26 14:43:10",NULL
"296","Kabupaten","Murung Raya","14","-0.01667","114.26667","2021-10-20 15:19:47","2021-11-26 14:43:09",NULL
"297","Kabupaten","Musi Banyuasin","33","-2.41667","103.75","2021-10-20 15:19:47","2021-11-26 14:47:06",NULL
"298","Kabupaten","Musi Rawas","33","-3.08333","103.2","2021-10-20 15:19:47","2021-11-26 14:43:06",NULL
"299","Kabupaten","Nabire","24","-3.54016","135.55511","2021-10-20 15:19:47","2021-11-26 14:43:10",NULL
"300","Kabupaten","Nagan Raya","21","4.16667","96.51667","2021-10-20 15:19:47","2021-11-26 14:43:03",NULL
